acid,country,year,quarter_of_year,month_of_year,week_of_year,freq_signup,freq_sportsapp,freq_survey,freq_raffle,freq_reviews,freq_email,freq_adiclub_email,freq_pn,freq_adiclub_pn,freq_transactions,freq_earn_points,freq_points_redemption,freq_rewards_redemption,freq_confirmed,freq_dotcom,freq_flagshipapp,freq_hype,freq_pdp,freq_plp,freq_add_to_cart,freq_preference,freq_wishlist,refresh_date,engagement_score
CXF5SSLB6TTSQY9P,GB,2022,4,12,48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2024-03-04,4
GJNWWAHI0A1EVU10,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2024-03-04,2
ZBAXFGEROCEVIOH8,GB,2022,4,12,50,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,3,4,2,0,1,2024-03-04,18
LJG7AZJR32RUI0IF,GB,2022,4,12,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,2024-03-04,12
ETUK81NDJED45JO4,GB,2022,4,11,47,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,2,2,0,0,2024-03-04,12
SELHMTCSOISJLVHZ,GB,2022,4,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2024-03-04,6
PHICWJS5R8F9ISES,GB,2022,4,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2024-03-04,3
Q5TUAOHSF03PM6OA,GB,2022,4,11,47,0,0,0,0,0,2,0,0,0,1,2,0,0,0,8,0,0,8,6,4,0,0,2024-03-04,31
OKB5G4876V4HVA0N,GB,2022,4,11,48,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2024-03-04,3
HF95OCDJ9Z3PT6F5,GB,2022,4,11,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,2024-03-04,6
WA3XY5CI4VTB6VVT,GB,2022,4,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2024-03-04,2
1DWT6RPH6TB7GUTS,GB,2022,4,12,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,2,0,0,2024-03-04,10
PDZXBQIKNR1NG2VV,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,3,3,1,0,1,2024-03-04,14
ZF8UYQDF3ZTDHQSL,GB,2022,4,11,46,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,2,2,2,0,0,2024-03-04,11
PMJS5HARFHJQWFVR,GB,2022,4,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2024-03-04,2
LIWG6LWROXGEDZYH,GB,2022,4,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04,3
H753VT653LFJOKEN,GB,2022,4,11,45,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,2024-03-04,7
B0VIIDMEC86MRG8I,GB,2022,4,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2024-03-04,6
HJQM1RKCQP6IQO56,GB,2022,4,11,47,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,2024-03-04,10
XLBT70OFL5WN85IW,GB,2022,4,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,2024-03-04,8
XQEJAFPLAXO8C9JL,GB,2022,4,10,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2024-03-04,2
AF3N5C2MAWHKU3UM,GB,2022,4,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2024-03-04,3
HGU5XD6WWZSRICDH,GB,2022,4,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,16,0,0,0,2024-03-04,36
CBB9EGVU5BJEFJ9T,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2024-03-04,2
5YD58CWPE1IALJ7F,GB,2022,4,10,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2024-03-04,5
HHEKTH2ZP9E2B0LW,GB,2022,4,12,48,0,0,0,0,0,0,0,0,0,2,2,0,0,0,12,0,0,2,2,0,0,0,2024-03-04,20
64D8KYJEMBY9LIDS,GB,2022,4,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,2024-03-04,6
KMRPF91I4YGMEVYQ,GB,2022,4,12,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2024-03-04,2
OKEZTDQ0TYPZYBHK,GB,2022,4,12,49,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,2,1,1,0,0,2024-03-04,10
TDNVMZR65HTRI8O6,GB,2022,4,12,50,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2024-03-04,5
2HI3LEMIZAT5SBO5,GB,2022,4,11,46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2024-03-04,4
AN8518QLKV54LT7J,GB,2022,4,12,48,1,0,0,0,0,2,0,0,0,1,2,0,0,0,5,0,0,3,1,1,0,0,2024-03-04,16
S4WE4Q6NE0H7XSEH,GB,2022,4,11,46,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2024-03-04,4
ALPIYBEZ5GLN8LN4,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,1,0,1,2024-03-04,8
QRB3CVIEFRKEUPWW,GB,2022,4,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04,3
9R6KT93N7L2IRXM4,GB,2022,4,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,4,0,0,0,2024-03-04,10
0M4GX4BN3MWZ67FV,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04,3
WI2NY1CSGSITPO7I,GB,2022,4,11,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,0,2024-03-04,8
5NVTUUW73MXOLTCO,GB,2022,4,11,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04,1
H4I3KI6L0U8C5QJ2,GB,2022,4,11,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,2024-03-04,8
0AJN26QLBFU0BCK1,GB,2022,4,12,48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,4,4,0,0,0,2024-03-04,15
5C91TE8GG21YP2UO,GB,2022,4,11,47,1,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,2,2,0,0,2024-03-04,13
I2BDOZUC7QRO732D,GB,2022,4,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2024-03-04,4
Z9OYCFARZCLQFPAN,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-03-04,1
MI1HCRARQFZDGCME,GB,2022,4,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,3,2,0,0,2024-03-04,12
KYQ96NALJJYLGLJX,GB,2022,4,11,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04,3
EDTAWUEEL4GUKPJE,GB,2022,4,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2024-03-04,1
8VZ02B5OJRT8X7HT,GB,2022,4,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2024-03-04,2
MPGNHQ3QAHRGORFT,GB,2022,4,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2024-03-04,2
