sports_category_descr,predicted_interaction,acid
HIKING,5.711352629832396e-09,7I7BPSV4PGPZMR7O
BASKETBALL,2.373699306008664e-09,7I7BPSV4PGPZMR7O
SWIM,1.0401679041198385e-09,7I7BPSV4PGPZMR7O
ORIGINALS,0.9999999963125484,7KV99K6BP7NQ317T
HANDBALL,6.040606899536069e-05,7KV99K6BP7NQ317T
BASKETBALL,6.279302918842444e-09,7KV99K6BP7NQ317T
HIKING,5.698249110312082e-09,7KV99K6BP7NQ317T
SWIM,1.3430390534149637e-09,7KV99K6BP7NQ317T
NOT SPORTS SPECIFIC,0.9999999768196282,7OOM5XV1VI652UN9
HANDBALL,0.000152069803464048,7OOM5XV1VI652UN9
HIKING,7.84522259971687e-09,7OOM5XV1VI652UN9
SWIM,3.955567839143767e-09,7OOM5XV1VI652UN9
BASKETBALL,3.301686901615685e-09,7OOM5XV1VI652UN9
NOT SPORTS SPECIFIC,0.9999999768196282,7STSGOMLNREMQFM3
HANDBALL,0.000152069803464048,7STSGOMLNREMQFM3
HIKING,7.84522259971687e-09,7STSGOMLNREMQFM3
SWIM,3.955567839143767e-09,7STSGOMLNREMQFM3
BASKETBALL,3.301686901615685e-09,7STSGOMLNREMQFM3
NOT SPORTS SPECIFIC,0.9999999768196282,841CZPQOA7KY8QUN
HANDBALL,0.000152069803464048,841CZPQOA7KY8QUN
HIKING,7.84522259971687e-09,841CZPQOA7KY8QUN
SWIM,3.955567839143767e-09,841CZPQOA7KY8QUN
BASKETBALL,3.301686901615685e-09,841CZPQOA7KY8QUN
RUNNING,0.9999999687644883,851EE386-ABBC-60B3-EB8E-8D3FAB96B5E0
OLYMPIC SPORTS,0.00017663153211532035,851EE386-ABBC-60B3-EB8E-8D3FAB96B5E0
HIKING,5.711352629832396e-09,851EE386-ABBC-60B3-EB8E-8D3FAB96B5E0
BASKETBALL,2.373699306008664e-09,851EE386-ABBC-60B3-EB8E-8D3FAB96B5E0
SWIM,1.0401679041198385e-09,851EE386-ABBC-60B3-EB8E-8D3FAB96B5E0
NOT SPORTS SPECIFIC,0.9999999768196282,89YV56VRSGWLW2G8
HANDBALL,0.000152069803464048,89YV56VRSGWLW2G8
HIKING,7.84522259971687e-09,89YV56VRSGWLW2G8
SWIM,3.955567839143767e-09,89YV56VRSGWLW2G8
BASKETBALL,3.301686901615685e-09,89YV56VRSGWLW2G8
ORIGINALS,0.9999999963125484,8E7QATXPHAUA5KHT
HANDBALL,6.040606899536069e-05,8E7QATXPHAUA5KHT
BASKETBALL,6.279302918842444e-09,8E7QATXPHAUA5KHT
HIKING,5.698249110312082e-09,8E7QATXPHAUA5KHT
SWIM,1.3430390534149637e-09,8E7QATXPHAUA5KHT
ORIGINALS,0.9999999963125484,8MI5885QKZO01JA4
HANDBALL,6.040606899536069e-05,8MI5885QKZO01JA4
BASKETBALL,6.279302918842444e-09,8MI5885QKZO01JA4
HIKING,5.698249110312082e-09,8MI5885QKZO01JA4
SWIM,1.3430390534149637e-09,8MI5885QKZO01JA4
SKATEBOARDING,0.999999999991508,8MPZRYMG52CIAEWY
TRACK AND FIELD,1.2779737861031224e-07,8MPZRYMG52CIAEWY
HIKING,8.63034130870259e-10,8MPZRYMG52CIAEWY
FOOTBALL/SOCCER,4.83424281688766e-10,8MPZRYMG52CIAEWY
NOT SPORTS SPECIFIC,4.007922499581405e-10,8MPZRYMG52CIAEWY
HIKING,0.9999976313286254,8V8HTAZIDN4Q815U
CLIMB,0.0015390382977235623,8V8HTAZIDN4Q815U
TRACK AND FIELD,1.9650598442998192e-07,8V8HTAZIDN4Q815U
SPORT STYLE,4.676546611769038e-08,8V8HTAZIDN4Q815U
OUTDOOR,2.4700080095008994e-08,8V8HTAZIDN4Q815U
NOT SPORTS SPECIFIC,0.9999999768196282,8WJQI5JGXBPOAQKA
HANDBALL,0.000152069803464048,8WJQI5JGXBPOAQKA
HIKING,7.84522259971687e-09,8WJQI5JGXBPOAQKA
SWIM,3.955567839143767e-09,8WJQI5JGXBPOAQKA
BASKETBALL,3.301686901615685e-09,8WJQI5JGXBPOAQKA
FOOTBALL/SOCCER,0.9999999669522595,8Z4MKIB03S40CEPW
HANDBALL,0.00018173536718360926,8Z4MKIB03S40CEPW
HIKING,6.433882471626821e-09,8Z4MKIB03S40CEPW
